name,lat,lon,district,addr,avg_comp_rating,dist_metro,stops_cnt,c300,c1k,pop_dens,income,office_dens,avg_rent,avail_space
Додо Пицца,55.7627652,37.6347124,CAO,,,311.68869798192117,4,57,473,12500,110000,2,45000,342
Додо Пицца,55.6528525,37.6067188,CAO,,,393.94358560656445,15,3,58,12500,110000,0,45000,342
Додо Пицца,55.662566,37.5548503,CAO,,,750.8879638340155,6,5,53,12500,110000,0,45000,342
Додо Пицца,55.7491012,37.5393458,CAO,,,10.544766709200164,12,80,149,12500,110000,0,45000,342
Мокко,55.7731108,37.6148303,CAO,,,314.7584882437363,17,14,279,12500,110000,2,45000,342
,55.6922842,37.5630517,CAO,,,794.5084260320132,7,4,48,12500,110000,0,45000,342
Динамо,55.7660883,37.6176964,CAO,,,322.98077634149234,12,38,470,12500,110000,1,45000,342
Китайский барбекю,55.6883114,37.5438488,UZAO,,,295.73241935244215,13,10,71,10500,98000,0,29000,165
Avrora,55.7671936,37.6233294,CAO,,,107.37162913186414,9,37,459,12500,110000,0,45000,342
Мякоть,55.7603404,37.6621755,CAO,,,191.70643056533274,6,41,216,12500,110000,2,45000,342
Dizengof//99,55.7278834,37.6234605,CAO,,,86.03217743580451,13,48,216,12500,110000,0,45000,342
Pho City,55.7390642,37.6285037,CAO,,,218.4038201215241,10,54,253,12500,110000,0,45000,342
,55.7757176,37.5845169,CAO,,,54.58282956486261,17,79,316,12500,110000,0,45000,342
За Обе Щёки,55.6841223,37.6215272,CAO,,,78.94550336531549,9,11,33,12500,110000,0,45000,342
Чихо,55.7668071,37.6240915,CAO,,,171.2806415746644,10,31,471,12500,110000,0,45000,342
Чихо,55.7470882,37.5389528,CAO,,,137.6417547554988,8,79,153,12500,110000,0,45000,342
Чихо,55.7712966,37.6201192,CAO,,,57.58016672441807,14,51,312,12500,110000,2,45000,342
Сыто Пьяно,55.7708206,37.6319396,CAO,,,158.79744842592294,13,34,305,12500,110000,0,45000,342
Delhi 6,55.7431674,37.5628473,CAO,,,103.08714258435835,18,56,123,12500,110000,0,45000,342
Madame Roche,55.7277807,37.6464061,CAO,,,460.34463868614534,9,25,184,12500,110000,0,45000,342
Marble,55.7548758,37.6010272,CAO,,,306.43920959266154,14,40,325,12500,110000,0,45000,342
Сон Красной Панды,55.7579186,37.6339661,CAO,,,143.77124498296382,15,47,429,12500,110000,2,45000,342
Manul,55.7579476,37.6182456,CAO,,,76.80925745340318,9,34,383,12500,110000,0,45000,342
Б. 28,55.7326465,37.6368109,CAO,,,91.38962157857844,12,47,272,12500,110000,0,45000,342
Вкусно — и точка,55.664727,37.6272237,CAO,,,1247.1117595285148,10,6,17,12500,110000,0,45000,342
Правда кофе,55.640148,37.5329541,UZAO,,,466.370394904382,10,18,50,10500,98000,0,29000,165
Gastrobar,55.640174,37.5328296,UZAO,,,458.043617440295,11,18,50,10500,98000,0,29000,165
Милти,55.6842006,37.6212644,CAO,,,96.08597008442523,10,11,32,12500,110000,0,45000,342
Phou,55.6841678,37.6212728,CAO,,,95.18202035242189,10,11,32,12500,110000,0,45000,342
,55.6970195,37.5785148,CAO,,,952.941823211425,5,2,25,12500,110000,0,45000,342
Золотая Цапля,55.7744618,37.616531,CAO,,,400.74755995893617,12,12,240,12500,110000,2,45000,342
,55.7551407,37.5971179,CAO,,,427.479773525341,15,28,340,12500,110000,0,45000,342
Picco,55.7519777,37.525861,SAO,,,446.9317846564345,9,1,109,9800,95000,0,28000,187
Beriot,55.7519524,37.5872947,CAO,,,451.8587229033719,10,45,249,12500,110000,0,45000,342
Prime,55.709693,37.6245327,CAO,,,123.49938029308528,13,53,123,12500,110000,1,45000,342
Com 1989,55.7095986,37.6245542,CAO,,,123.89614203745417,14,53,125,12500,110000,1,45000,342
Dragon,55.7472391,37.5387463,CAO,,,118.1999597205814,8,84,152,12500,110000,0,45000,342
Shulman Kitchen,55.7550728,37.6448263,CAO,,,605.941536468764,4,25,306,12500,110000,2,45000,342
Kilim,55.7423234,37.6091462,CAO,,,449.4798665718036,10,29,156,12500,110000,0,45000,342
Cafe la Gare,55.7547128,37.6096371,CAO,,,247.27591240230765,12,28,315,12500,110000,0,45000,342
Брусника,55.7510478,37.582595,CAO,,,236.40728351710138,12,33,206,12500,110000,0,45000,342
Com 1989,55.7075517,37.5980835,CAO,,,664.2075019875747,0,14,77,12500,110000,1,45000,342
One Price Coffee,55.7404475,37.6278766,CAO,,,61.91898406645203,7,52,227,12500,110000,0,45000,342
One Price Coffee,55.7310547,37.6340677,CAO,,,131.36300767944923,10,39,278,12500,110000,0,45000,342
One Price Coffee,55.6869742,37.5733387,CAO,,,18.32008832723636,13,15,74,12500,110000,0,45000,342
Даблби Экспресс,55.7744902,37.5814229,CAO,,,117.42996109992006,19,57,290,12500,110000,1,45000,342
Amov,55.7634858,37.6601652,CAO,,,528.6309651537049,14,33,227,12500,110000,1,45000,342
Rébellion Clubhouse,55.7282715,37.5811543,CAO,,,97.61671327316047,5,28,134,12500,110000,0,45000,342
PhoBo,55.7489427,37.5392878,CAO,,,11.926657617722444,12,85,150,12500,110000,0,45000,342
Punjabi cafe,55.6516853,37.596675,CAO,,,87.21615908305776,13,7,39,12500,110000,0,45000,342
Правда Кофе,55.7680655,37.6052047,CAO,,,237.30863240603833,21,51,385,12500,110000,0,45000,342
Про Восток,55.766884,37.6032507,CAO,,,119.68761551437657,12,46,394,12500,110000,1,45000,342
Pims,55.7621805,37.6082437,CAO,,,281.0222803668138,11,29,465,12500,110000,1,45000,342
Øliv Pizza,55.7411034,37.6102178,CAO,,,545.4909542199376,11,32,165,12500,110000,0,45000,342
Bistro Si,55.7763943,37.6021551,CAO,,,352.82051722756046,16,22,367,12500,110000,0,45000,342
Кулинарная лавка братьев Караваевых,55.6781009,37.6649563,CAO,,,54.5557490665127,11,18,55,12500,110000,0,45000,342
Даблби,55.7567911,37.6032011,CAO,,,487.5342813081767,11,39,377,12500,110000,0,45000,342
Рынок и общепит Шук,55.6926227,37.5339103,UZAO,,,39.466027735443014,14,22,70,10500,98000,0,29000,165
Хинкали хачапури,55.7370226,37.6591037,CAO,,,432.934934376611,22,23,189,12500,110000,0,45000,342
Суши-Маркет,55.7572032,37.6585362,CAO,,,49.79017292540965,8,52,251,12500,110000,1,45000,342
Суши-Маркет,55.7554343,37.6145428,CAO,,,163.06538217867046,11,25,348,12500,110000,0,45000,342
